市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
ZC,CF705,2017-05-04 21:01:18.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,32,5
ZC,CF705,2017-05-04 21:01:18.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,32,1
ZC,CF705,2017-05-04 21:01:19.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,32,4
ZC,CF705,2017-05-04 21:01:20.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,12,4
ZC,CF705,2017-05-04 21:01:20.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,13,4
ZC,CF705,2017-05-04 21:01:21.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,14,4
ZC,CF705,2017-05-04 21:01:21.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,14,5
ZC,CF705,2017-05-04 21:01:22.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,12,5
ZC,CF705,2017-05-04 21:01:23.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,13,5
ZC,CF705,2017-05-04 21:01:23.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,24,5
ZC,CF705,2017-05-04 21:01:24.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,27,5
ZC,CF705,2017-05-04 21:01:24.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,23,5
ZC,CF705,2017-05-04 21:01:25.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,18,2
ZC,CF705,2017-05-04 21:01:25.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,10,4
ZC,CF705,2017-05-04 21:01:26.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,14,5
ZC,CF705,2017-05-04 21:01:26.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,11,5
ZC,CF705,2017-05-04 21:01:27.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15635.0000,15650.0000,32,5
ZC,CF705,2017-05-04 21:01:28.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15635.0000,15655.0000,32,5
ZC,CF705,2017-05-04 21:01:28.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,12,5
ZC,CF705,2017-05-04 21:01:29.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,26,5
ZC,CF705,2017-05-04 21:01:29.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,30,5
ZC,CF705,2017-05-04 21:01:30.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,26,5
ZC,CF705,2017-05-04 21:01:30.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,27,5
ZC,CF705,2017-05-04 21:01:31.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,32,5
ZC,CF705,2017-05-04 21:01:31.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,29,5
ZC,CF705,2017-05-04 21:01:31.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,28,5
ZC,CF705,2017-05-04 21:01:32.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,27,5
ZC,CF705,2017-05-04 21:01:33.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15660.0000,21,5
ZC,CF705,2017-05-04 21:01:33.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15660.0000,22,5
ZC,CF705,2017-05-04 21:01:34.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15660.0000,32,5
ZC,CF705,2017-05-04 21:01:43.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,25,15
ZC,CF705,2017-05-04 21:01:44.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,32,15
ZC,CF705,2017-05-04 21:01:45.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,29,15
